Subject,Class,Unit,Theme,Sub-Theme,File_Path,Book_Section_Heading,Subtopic,Summary
Math,HSSC 1,Sequences and Series,Mathematics,Algebra / Sequences,data/math/v3-11-maths-book-2025.txt,Arithmetic Progression (AP),Solving problems analyzing Arithmetic Sequence and Series (up to n terms),Finding terms and sums in arithmetic sequences.
Math,HSSC 1,Sequences and Series,Mathematics,Algebra / Sequences,data/math/v3-11-maths-book-2025.txt,Arithmetic Progression (AP),Arithmetic Mean (AM),Calculating arithmetic mean between terms of a sequence.
Math,HSSC 1,Sequences and Series,Mathematics,Algebra / Sequences,data/math/v3-11-maths-book-2025.txt,Geometric Progression (GP),Solving problems analyzing Geometric Sequence and Series (up to n terms),Finding terms and sums in geometric sequences.
Math,HSSC 1,Sequences and Series,Mathematics,Algebra / Sequences,data/math/v3-11-maths-book-2025.txt,Geometric Progression (GP),Geometric Mean (GM),Calculating geometric mean in sequences.
Math,HSSC 1,Sequences and Series,Mathematics,Algebra / Sequences,data/math/v3-11-maths-book-2025.txt,Harmonic Progression (HP),Solving problems analyzing Harmonic Sequences and Series (up to n terms),Finding terms and sums in harmonic sequences.
Math,HSSC 1,Sequences and Series,Mathematics,Algebra / Sequences,data/math/v3-11-maths-book-2025.txt,Harmonic Progression (HP),Harmonic Mean (HM),Calculating harmonic mean between terms.
Math,HSSC 1,Sequences and Series,Mathematics,Algebra / Sequences,data/math/v3-11-maths-book-2025.txt,Summation Notation (Σ),Recognizing and using Sigma notation (Σ),Understanding and using summation notation in sequences.
Math,HSSC 1,Sequences and Series,Mathematics,Algebra / Sequences,data/math/v3-11-maths-book-2025.txt,Summation Notation (Σ),Finding the sum of the first n natural numbers (Σn),Formula and method for sum of first n natural numbers.
Math,HSSC 1,Sequences and Series,Mathematics,Algebra / Sequences,data/math/v3-11-maths-book-2025.txt,Summation Notation (Σ),Finding the sum of the squares of the first n natural numbers (Σn²),Computing sum of squares of first n numbers.
Math,HSSC 1,Sequences and Series,Mathematics,Algebra / Sequences,data/math/v3-11-maths-book-2025.txt,Summation Notation (Σ),Finding the sum of the cubes of the first n natural numbers (Σn³),Computing sum of cubes of first n numbers.
Math,HSSC 1,Sequences and Series,Mathematics,Algebra / Sequences,data/math/v3-11-maths-book-2025.txt,Arithmetico-Geometric Series,Defining Arithmetico-Geometric Series,Introduction to sequences combining arithmetic and geometric patterns.
Math,HSSC 1,Sequences and Series,Mathematics,Algebra / Sequences,data/math/v3-11-maths-book-2025.txt,Arithmetico-Geometric Series,Finding sum to n terms of the Arithmetico-Geometric Series,Method to compute sum of n terms in AG series.
Math,HSSC 1,Sequences and Series,Mathematics,Algebra / Sequences,data/math/v3-11-maths-book-2025.txt,Real World Problems,Solving real world problems using sequences and series concepts,Applying sequences/series to practical problems.
Math,HSSC 1,Division of Polynomials,Mathematics,Algebra / Polynomials,data/math/v3-11-maths-book-2025.txt,Division of Polynomials,Dividing a polynomial (degree up to 4) by a linear polynomial,Polynomial long division by linear divisor.
Math,HSSC 1,Division of Polynomials,Mathematics,Algebra / Polynomials,data/math/v3-11-maths-book-2025.txt,Division of Polynomials,Dividing a polynomial (degree up to 4) by a quadratic polynomial,Polynomial long division by quadratic divisor.
Math,HSSC 1,Division of Polynomials,Mathematics,Algebra / Polynomials,data/math/v3-11-maths-book-2025.txt,Division of Polynomials,Identifying quotient and remainder after division,Determining quotient and remainder after polynomial division.
Math,HSSC 1,Division of Polynomials,Mathematics,Algebra / Polynomials,data/math/v3-11-maths-book-2025.txt,Remainder Theorem,"Recognizing, demonstrating, and applying the Remainder Theorem",Using the Remainder Theorem to evaluate polynomials at given values.
Math,HSSC 1,Division of Polynomials,Mathematics,Algebra / Polynomials,data/math/v3-11-maths-book-2025.txt,Factor Theorem,"Recognizing, analyzing, and applying the Factor Theorem",Identifying factors of polynomials using the Factor Theorem.
Math,HSSC 1,Division of Polynomials,Mathematics,Algebra / Polynomials,data/math/v3-11-maths-book-2025.txt,Factor Theorem,Factorizing a cubic polynomial using the Factor Theorem,Factorizing cubic polynomials by finding at least one root.
Math,HSSC 1,Division of Polynomials,Mathematics,Algebra / Polynomials,data/math/v3-11-maths-book-2025.txt,Zeros of a Polynomial,Zeros of a polynomial (definition),Defining zeros (roots) of a polynomial.
Math,HSSC 1,Division of Polynomials,Mathematics,Algebra / Polynomials,data/math/v3-11-maths-book-2025.txt,Applications,Applying concepts of Remainder and Factor Theorem to real world problems,Solving practical problems using polynomial theorems.
Math,HSSC 1,Permutation and Combination,Mathematics,Algebra / Counting Techniques,data/math/v3-11-maths-book-2025.txt,Fundamental Principle of Counting,Understanding the Fundamental Principle of Counting,Counting total outcomes using fundamental principle.
Math,HSSC 1,Permutation and Combination,Mathematics,Algebra / Counting Techniques,data/math/v3-11-maths-book-2025.txt,Factorial Notation,Defining and using Factorial notation (n!),Defining factorial and applying in counting problems.
Math,HSSC 1,Permutation and Combination,Mathematics,Algebra / Counting Techniques,data/math/v3-11-maths-book-2025.txt,Permutation,Defining and calculating Permutations (ⁿPᵣ),Arranging objects in order using permutations.
Math,HSSC 1,Permutation and Combination,Mathematics,Algebra / Counting Techniques,data/math/v3-11-maths-book-2025.txt,Combination,Defining and calculating Combinations (ⁿCᵣ),Selecting objects without order using combinations.
Math,HSSC 1,Permutation and Combination,Mathematics,Algebra / Counting Techniques,data/math/v3-11-maths-book-2025.txt,Real World Problems,Solving real world problems involving permutations and combinations,Applying counting techniques to practical scenarios.
Math,HSSC 1,Mathematical Induction and Binomial Theorem,Mathematics,Algebra / Proof and Series,data/math/v3-11-maths-book-2025.txt,Inductive and Deductive Reasoning,Defining Deductive reasoning,Understanding reasoning from general principles to specific cases.
Math,HSSC 1,Mathematical Induction and Binomial Theorem,Mathematics,Algebra / Proof and Series,data/math/v3-11-maths-book-2025.txt,Inductive and Deductive Reasoning,Defining Inductive reasoning,Understanding reasoning from specific examples to general principle.
Math,HSSC 1,Mathematical Induction and Binomial Theorem,Mathematics,Algebra / Proof and Series,data/math/v3-11-maths-book-2025.txt,Mathematical Induction,Principles and application of Mathematical Induction,Proving statements true for all natural numbers using induction.
Math,HSSC 1,Mathematical Induction and Binomial Theorem,Mathematics,Algebra / Proof and Series,data/math/v3-11-maths-book-2025.txt,Binomial Theorem,Defining and applying the Binomial Theorem,Expanding powers of binomials using binomial coefficients.
Math,HSSC 1,Mathematical Induction and Binomial Theorem,Mathematics,Algebra / Proof and Series,data/math/v3-11-maths-book-2025.txt,Binomial Series,Defining and applying the Binomial Series,Generalizing the binomial expansion to series form.
Math,HSSC 1,Fundamental Laws of Trigonometry,Mathematics,Trigonometry / Identities,data/math/v3-11-maths-book-2025.txt,Fundamental Law of Trigonometry,Establishing the Fundamental Law of Trigonometry,Deriving fundamental trigonometric identities.
Math,HSSC 1,Fundamental Laws of Trigonometry,Mathematics,Trigonometry / Identities,data/math/v3-11-maths-book-2025.txt,Trigonometric Ratios of Allied Angles,"Deriving trigonometric ratios of allied angles from the fundamental law,Calculating ratios for complementary, supplementary angles."
Math,HSSC 1,Fundamental Laws of Trigonometry,Mathematics,Trigonometry / Identities,data/math/v3-11-maths-book-2025.txt,Double and Half Angle Identities,Deriving Double and Half Angle Identities from the fundamental law,"Deriving sin2θ, cos2θ, sin(θ/2), cos(θ/2)."
Math,HSSC 1,Fundamental Laws of Trigonometry,Mathematics,Trigonometry / Identities,data/math/v3-11-maths-book-2025.txt,Triple Angle Identities,Deriving Triple Angle Identities,"Formulas for sin3θ, cos3θ, tan3θ."
Math,HSSC 1,Fundamental Laws of Trigonometry,Mathematics,Trigonometry / Identities,data/math/v3-11-maths-book-2025.txt,Sum and Difference Formulae,Deriving Sum and Difference Formulae,"Formulas for sin(A ± B), cos(A ± B), tan(A ± B)."
Math,HSSC 1,Fundamental Laws of Trigonometry,Mathematics,Trigonometry / Identities,data/math/v3-11-maths-book-2025.txt,Product Formulae,Deriving Product Formulae,Transforming sums into products and vice versa.
Math,HSSC 1,Trigonometric Functions,Mathematics,Trigonometry / Functions,data/math/v3-11-maths-book-2025.txt,Domain of Trigonometric Functions,Defining and finding the Domain of trigonometric functions,Identifying valid input values for trig functions.
Math,HSSC 1,Trigonometric Functions,Mathematics,Trigonometry / Functions,data/math/v3-11-maths-book-2025.txt,Range of Trigonometric Functions,Defining and finding the Range of trigonometric functions,Determining possible output values.
Math,HSSC 1,Trigonometric Functions,Mathematics,Trigonometry / Functions,data/math/v3-11-maths-book-2025.txt,Periodicity of Trigonometric Functions,Defining the Periodicity of trigonometric functions,Finding the repeating interval of trig functions.
Math,HSSC 1,Trigonometric Functions,Mathematics,Trigonometry / Functions,data/math/v3-11-maths-book-2025.txt,Maximum and Minimum Values,Finding the Maximum and Minimum values of trigonometric functions,Calculating peaks and troughs for functions.
Math,HSSC 1,Trigonometric Functions,Mathematics,Trigonometry / Functions,data/math/v3-11-maths-book-2025.txt,Graphs of Trigonometric Functions,Drawing and analyzing the Graphs of trigonometric functions,"Plotting sine, cosine, tangent graphs."
Math,HSSC 1,Trigonometric Functions,Mathematics,Trigonometry / Functions,data/math/v3-11-maths-book-2025.txt,Even and Odd Trigonometric Functions,Identifying and applying Even and Odd trigonometric functions,"Using symmetry properties in graphs and calculations."
Math,HSSC 1,Trigonometric Functions,Mathematics,Trigonometry / Functions,data/math/v3-11-maths-book-2025.txt,Applications,Applications of trigonometric functions,Solving real-life problems using trig functions.
Math,HSSC 2,FUNCTIONS AND GRAPHS,Mathematics,Functions,data/math/v2-12-maths-book-2025.txt,FUNCTIONS AND GRAPHS,Definition of a function; mapping notation f: A → B,Understanding functions as mappings from set A to set B.
Math,HSSC 2,FUNCTIONS AND GRAPHS,Mathematics,Functions,data/math/v2-12-maths-book-2025.txt,FUNCTIONS AND GRAPHS,"Domain, codomain and range — determination from formula and graph","Finding domain, codomain, and range from formulas and graphs."
Math,HSSC 2,FUNCTIONS AND GRAPHS,Mathematics,Functions,data/math/v2-12-maths-book-2025.txt,FUNCTIONS AND GRAPHS,"One-one (injective), onto (surjective), into — definitions and checks","Checking if a function is injective, surjective, or neither."
Math,HSSC 2,FUNCTIONS AND GRAPHS,Mathematics,Functions,data/math/v2-12-maths-book-2025.txt,FUNCTIONS AND GRAPHS,Bijective functions and inverses — existence criteria,Identifying functions that are bijective and finding their inverses.
Math,HSSC 2,FUNCTIONS AND GRAPHS,Mathematics,Composite & inverse functions,data/math/v2-12-maths-book-2025.txt,FUNCTIONS AND GRAPHS,Composition of functions (f∘g): definition and evaluation,Calculating composite functions step-by-step.
Math,HSSC 2,FUNCTIONS AND GRAPHS,Mathematics,Composite & inverse functions,data/math/v2-12-maths-book-2025.txt,FUNCTIONS AND GRAPHS,Finding inverse functions algebraically; domain and range of inverse,Determining algebraic inverse and its domain/range.
Math,HSSC 2,FUNCTIONS AND GRAPHS,Mathematics,Linear functions,data/math/v2-12-maths-book-2025.txt,FUNCTIONS AND GRAPHS,"Linear function y = ax + b: slope, intercepts and graph",Graphing linear functions and interpreting slope and intercepts.
Math,HSSC 2,FUNCTIONS AND GRAPHS,Mathematics,Quadratic functions,data/math/v2-12-maths-book-2025.txt,FUNCTIONS AND GRAPHS,"Quadratic y = ax^2 + bx + c: vertex, axis of symmetry, discriminant",Analyzing quadratic function features.
Math,HSSC 2,FUNCTIONS AND GRAPHS,Mathematics,Quadratic functions,data/math/v2-12-maths-book-2025.txt,FUNCTIONS AND GRAPHS,"Sketching parabola, intercepts and vertex form",Drawing parabolas using vertex form.
Math,HSSC 2,FUNCTIONS AND GRAPHS,Mathematics,Square-root & power functions,data/math/v2-12-maths-book-2025.txt,FUNCTIONS AND GRAPHS,Square-root functions: domain restrictions and basic graphs,Plotting and understanding square-root functions.
Math,HSSC 2,FUNCTIONS AND GRAPHS,Mathematics,Power functions,data/math/v2-12-maths-book-2025.txt,FUNCTIONS AND GRAPHS,Plotting y = x^n for integer and rational n,Graphing power functions with different exponents.
Math,HSSC 2,FUNCTIONS AND GRAPHS,Mathematics,Rational functions & asymptotes,data/math/v2-12-maths-book-2025.txt,FUNCTIONS AND GRAPHS,Rational functions: vertical/horizontal asymptotes and holes,Determining asymptotes and discontinuities of rational functions.
Math,HSSC 2,FUNCTIONS AND GRAPHS,Mathematics,Exponential & logarithmic functions,data/math/v2-12-maths-book-2025.txt,FUNCTIONS AND GRAPHS,Exponential functions a^x: properties and graphs,Graphing exponential functions and analyzing growth/decay.
Math,HSSC 2,FUNCTIONS AND GRAPHS,Mathematics,Exponential & logarithmic functions,data/math/v2-12-maths-book-2025.txt,FUNCTIONS AND GRAPHS,"Logarithmic functions: definition, laws of logarithms, change of base",Working with logarithms and their laws.
Math,HSSC 2,FUNCTIONS AND GRAPHS,Mathematics,Applications of exponents/log,data/math/v2-12-maths-book-2025.txt,FUNCTIONS AND GRAPHS,Compound interest and exponential growth/decay examples,Solving practical exponential/logarithmic problems.
Math,HSSC 2,FUNCTIONS AND GRAPHS,Mathematics,Trigonometric functions,data/math/v2-12-maths-book-2025.txt,FUNCTIONS AND GRAPHS,Basic trig functions definitions and unit-circle perspective,"Understanding sin, cos, tan using the unit circle."
Math,HSSC 2,FUNCTIONS AND GRAPHS,Mathematics,Trigonometric functions,data/math/v2-12-maths-book-2025.txt,FUNCTIONS AND GRAPHS,"Graphs of sin x, cos x, tan x: period, amplitude, asymptotes",Sketching and interpreting basic trig function graphs.
Math,HSSC 2,FUNCTIONS AND GRAPHS,Mathematics,Inverse trig & graphs,data/math/v2-12-maths-book-2025.txt,FUNCTIONS AND GRAPHS,"Definition and principal ranges of arcsin, arccos, arctan",Defining inverse trig functions and their principal values.
Math,HSSC 2,FUNCTIONS AND GRAPHS,Mathematics,Graph transformations,data/math/v2-12-maths-book-2025.txt,FUNCTIONS AND GRAPHS,Translations: horizontal/vertical shifts and their effect on domain/range,Shifting graphs horizontally and vertically.
Math,HSSC 2,FUNCTIONS AND GRAPHS,Mathematics,Graph transformations,data/math/v2-12-maths-book-2025.txt,FUNCTIONS AND GRAPHS,Scaling (stretch/compress) and reflections across axes," Stretching, compressing, and reflecting graphs."
Math,HSSC 2,FUNCTIONS AND GRAPHS,Mathematics,Modulus functions,data/math/v2-12-maths-book-2025.txt,FUNCTIONS AND GRAPHS,Graphs of |f(x)| and f(|x|); solving modulus equations graphically,Analyzing modulus transformations and solving related equations.
Math,HSSC 2,FUNCTIONS AND GRAPHS,Mathematics,Piecewise & discontinuities,data/math/v2-12-maths-book-2025.txt,FUNCTIONS AND GRAPHS,"Piecewise functions: domain, graphing and evaluation",Analyzing piecewise functions; plotting graphs and evaluating values.
Math,HSSC 2,FUNCTIONS AND GRAPHS,Mathematics,Graphical solutions,data/math/v2-12-maths-book-2025.txt,FUNCTIONS AND GRAPHS,"Finding intersections graphically (line-line, line-parabola, parabola-parabola)",Solving equations by graphing and identifying intersection points.
Math,HSSC 2,"LIMIT, CONTINUITY AND DERIVATIVE",Mathematics,Limits,data/math/v2-12-maths-book-2025.txt,"LIMIT, CONTINUITY AND DERIVATIVE",Concept of limit: intuitive and ε-δ idea (intro),Understanding limits intuitively and using ε-δ definition.
Math,HSSC 2,"LIMIT, CONTINUITY AND DERIVATIVE",Mathematics,Limits,data/math/v2-12-maths-book-2025.txt,"LIMIT, CONTINUITY AND DERIVATIVE",Left-hand and right-hand limits; existence criteria,Checking limits from left and right; determining existence.
Math,HSSC 2,"LIMIT, CONTINUITY AND DERIVATIVE",Mathematics,Limit techniques,data/math/v2-12-maths-book-2025.txt,"LIMIT, CONTINUITY AND DERIVATIVE","Algebraic limit computation: factorization, conjugate method, substitution",Computing limits using algebraic simplification techniques.
Math,HSSC 2,"LIMIT, CONTINUITY AND DERIVATIVE",Mathematics,Limit rules,data/math/v2-12-maths-book-2025.txt,"LIMIT, CONTINUITY AND DERIVATIVE","Limit laws: sum, difference, product, quotient, composition",Applying limit properties to simplify calculations.
Math,HSSC 2,"LIMIT, CONTINUITY AND DERIVATIVE",Mathematics,Continuity,data/math/v2-12-maths-book-2025.txt,"LIMIT, CONTINUITY AND DERIVATIVE",Continuity at a point: three conditions and examples,Checking if a function is continuous at a given point.
Math,HSSC 2,"LIMIT, CONTINUITY AND DERIVATIVE",Mathematics,Continuity,data/math/v2-12-maths-book-2025.txt,"LIMIT, CONTINUITY AND DERIVATIVE","Types of discontinuities: removable, jump, infinite",Classifying discontinuities and giving examples.
Math,HSSC 2,"LIMIT, CONTINUITY AND DERIVATIVE",Mathematics,Derivatives - definition,data/math/v2-12-maths-book-2025.txt,"LIMIT, CONTINUITY AND DERIVATIVE",Derivative as limit of difference quotient; geometric meaning (slope of tangent),Understanding derivative as tangent slope and rate of change.
Math,HSSC 2,"LIMIT, CONTINUITY AND DERIVATIVE",Mathematics,Differentiation rules,data/math/v2-12-maths-book-2025.txt,"LIMIT, CONTINUITY AND DERIVATIVE","Power rule, constant multiple, sum/difference rules",Applying basic differentiation rules to simple functions.
Math,HSSC 2,"LIMIT, CONTINUITY AND DERIVATIVE",Mathematics,Differentiation rules,data/math/v2-12-maths-book-2025.txt,"LIMIT, CONTINUITY AND DERIVATIVE",Product and quotient rules; chain rule with examples,"Using product, quotient, and chain rules to differentiate complex functions."
Math,HSSC 2,"LIMIT, CONTINUITY AND DERIVATIVE",Mathematics,Derivatives of functions,data/math/v2-12-maths-book-2025.txt,"LIMIT, CONTINUITY AND DERIVATIVE","Derivatives of polynomials, exponentials, logs, trig and inverse trig",Finding derivatives of common function types.
Math,HSSC 2,"LIMIT, CONTINUITY AND DERIVATIVE",Mathematics,Higher derivatives,data/math/v2-12-maths-book-2025.txt,"LIMIT, CONTINUITY AND DERIVATIVE","Second and higher order derivatives and notation (f'', f^{(n)})",Computing higher order derivatives and understanding their notation.
Math,HSSC 2,"LIMIT, CONTINUITY AND DERIVATIVE",Mathematics,Applications of derivative,data/math/v2-12-maths-book-2025.txt,"LIMIT, CONTINUITY AND DERIVATIVE",Tangent & normal to curve; instantaneous rate of change,Using derivatives to find tangent/normal lines and instantaneous rates.
Math,HSSC 2,"LIMIT, CONTINUITY AND DERIVATIVE",Mathematics,Applications of derivative,data/math/v2-12-maths-book-2025.txt,"LIMIT, CONTINUITY AND DERIVATIVE","Related rates word problems (geometry, motion)",Solving related rates problems in practical contexts.
Math,HSSC 2,"LIMIT, CONTINUITY AND DERIVATIVE",Mathematics,Applications of derivative,data/math/v2-12-maths-book-2025.txt,"LIMIT, CONTINUITY AND DERIVATIVE",Optimization problems: local/global extrema and constrained examples,Finding maxima/minima in various scenarios.
Math,HSSC 2,"LIMIT, CONTINUITY AND DERIVATIVE",Mathematics,Tests for extrema,data/math/v2-12-maths-book-2025.txt,"LIMIT, CONTINUITY AND DERIVATIVE",Critical points; first derivative test,Identifying extrema using first derivative test.
Math,HSSC 2,"LIMIT, CONTINUITY AND DERIVATIVE",Mathematics,Tests for extrema,data/math/v2-12-maths-book-2025.txt,"LIMIT, CONTINUITY AND DERIVATIVE",Second derivative test; inflection points and concavity,Using second derivative to test concavity and inflection points.
Math,HSSC 2,"LIMIT, CONTINUITY AND DERIVATIVE",Mathematics,Differentiation techniques,data/math/v2-12-maths-book-2025.txt,"LIMIT, CONTINUITY AND DERIVATIVE",Implicit differentiation with examples,Applying implicit differentiation to find derivatives.
Math,HSSC 2,"LIMIT, CONTINUITY AND DERIVATIVE",Mathematics,Parametric differentiation,data/math/v2-12-maths-book-2025.txt,"LIMIT, CONTINUITY AND DERIVATIVE",Derivatives of parametric curves; dy/dx and d^2y/dx^2,Calculating derivatives for parametric equations.
Math,HSSC 2,"LIMIT, CONTINUITY AND DERIVATIVE",Mathematics,Differentials & approximation,data/math/v2-12-maths-book-2025.txt,"LIMIT, CONTINUITY AND DERIVATIVE","Differentials, linear approximation and error estimation",Using differentials for approximation and error analysis.
Math,HSSC 2,INTEGRATION,Mathematics,Antiderivative & indefinite integral,data/math/v2-12-maths-book-2025.txt,INTEGRATION,Antiderivative definition and basic integral formulas,Understanding antiderivatives and computing simple integrals.
Math,HSSC 2,INTEGRATION,Mathematics,Definite integral & FTC,data/math/v2-12-maths-book-2025.txt,INTEGRATION,Definite integrals and the Fundamental Theorem of Calculus,Connecting definite integrals with antiderivatives via FTC.
Math,HSSC 2,INTEGRATION,Mathematics,Integration techniques,data/math/v2-12-maths-book-2025.txt,INTEGRATION,Substitution method (u-sub) for integrals,Performing substitution to simplify integrals.
Math,HSSC 2,INTEGRATION,Mathematics,Integration techniques,data/math/v2-12-maths-book-2025.txt,INTEGRATION,"Integration by parts: formula, tabular method examples",Applying integration by parts to solve integrals.
Math,HSSC 2,INTEGRATION,Mathematics,Integration of rational functions,data/math/v2-12-maths-book-2025.txt,INTEGRATION,Partial fraction decomposition and integration,Decomposing rational functions and integrating each part.
Math,HSSC 2,INTEGRATION,Mathematics,Trigonometric integrals,data/math/v2-12-maths-book-2025.txt,INTEGRATION,"Integrals of sin^n x, cos^n x; using identities",Integrating powers of sine and cosine using identities.
Math,HSSC 2,INTEGRATION,Mathematics,Trigonometric integrals,data/math/v2-12-maths-book-2025.txt,INTEGRATION,"Integrals of sec x, tan x and inverse trig integrals",Handling trigonometric and inverse trig integrals.
Math,HSSC 2,INTEGRATION,Mathematics,Definite integral properties,data/math/v2-12-maths-book-2025.txt,INTEGRATION,"Properties: additivity, constant multiple, interchanging limits",Applying properties of definite integrals to simplify calculations.
Math,HSSC 2,INTEGRATION,Mathematics,Applications of integration,data/math/v2-12-maths-book-2025.txt,INTEGRATION,Area under curve and area between curves,Computing area under curves and between curves.
Math,HSSC 2,INTEGRATION,Mathematics,Applications of integration,data/math/v2-12-maths-book-2025.txt,INTEGRATION,Volumes by disks and washers (intro),Finding volumes of solids using disks/washers method.
Math,HSSC 2,INTEGRATION,Mathematics,Numerical integration basics,data/math/v2-12-maths-book-2025.txt,INTEGRATION,Trapezoidal rule (basic idea) and error concept,Approximating integrals numerically using trapezoidal rule.
Math,HSSC 2,DIFFERENTIAL EQUATIONS,Mathematics,Intro to DEs,data/math/v2-12-maths-book-2025.txt,DIFFERENTIAL EQUATIONS,Definition of differential equation; order and degree,Understanding differential equations and their classifications.
Math,HSSC 2,DIFFERENTIAL EQUATIONS,Mathematics,First-order DEs,data/math/v2-12-maths-book-2025.txt,DIFFERENTIAL EQUATIONS,Separable equations: method and examples,Solving first-order separable differential equations.
Math,HSSC 2,DIFFERENTIAL EQUATIONS,Mathematics,First-order DEs,data/math/v2-12-maths-book-2025.txt,DIFFERENTIAL EQUATIONS,Linear first-order DEs and integrating factor,Solving linear first-order differential equations using integrating factor.
Math,HSSC 2,DIFFERENTIAL EQUATIONS,Mathematics,Solving DEs,data/math/v2-12-maths-book-2025.txt,DIFFERENTIAL EQUATIONS,General vs particular solutions; initial value problems,Distinguishing general and particular solutions; solving IVPs.
Math,HSSC 2,DIFFERENTIAL EQUATIONS,Mathematics,Applications of DEs,data/math/v2-12-maths-book-2025.txt,DIFFERENTIAL EQUATIONS,"Exponential growth and decay models (population, radioactive)",Modeling real-life growth/decay with differential equations.
Math,HSSC 2,KINEMATICS OF MOTION IN A STRAIGHT LINE,Mathematics,Scalars & vectors,data/math/v2-12-maths-book-2025.txt,KINEMATICS OF MOTION IN A STRAIGHT LINE,Distance vs displacement; speed vs velocity,Comparing scalar and vector quantities in motion.
Math,HSSC 2,KINEMATICS OF MOTION IN A STRAIGHT LINE,Mathematics,Position/velocity/acceleration,data/math/v2-12-maths-book-2025.txt,KINEMATICS OF MOTION IN A STRAIGHT LINE,"Position function s(t), velocity v(t)=s'(t), acceleration a(t)=v'(t)",Using derivatives to describe motion.
Math,HSSC 2,KINEMATICS OF MOTION IN A STRAIGHT LINE,Mathematics,Graph interpretation,data/math/v2-12-maths-book-2025.txt,KINEMATICS OF MOTION IN A STRAIGHT LINE,Reading displacement-time and velocity-time graphs; interpreting area and slope,Analyzing graphs to determine motion parameters.
Math,HSSC 2,KINEMATICS OF MOTION IN A STRAIGHT LINE,Mathematics,Equations of motion,data/math/v2-12-maths-book-2025.txt,KINEMATICS OF MOTION IN A STRAIGHT LINE,Constant-acceleration formulas and derivation,Deriving and applying motion equations under constant acceleration.
Math,HSSC 2,KINEMATICS OF MOTION IN A STRAIGHT LINE,Mathematics,Projectile motion,data/math/v2-12-maths-book-2025.txt,KINEMATICS OF MOTION IN A STRAIGHT LINE,"Projectile: time of flight, range, max height (1D decomposition)",Analyzing projectile motion parameters using 1D components.
Math,HSSC 2,ANALYTICAL GEOMETRY,Mathematics,Coordinate geometry basics,data/math/v2-12-maths-book-2025.txt,ANALYTICAL GEOMETRY,Cartesian coordinates; distance formula and midpoint,Using coordinates to compute distances and midpoints.
Math,HSSC 2,ANALYTICAL GEOMETRY,Mathematics,Straight lines,data/math/v2-12-maths-book-2025.txt,ANALYTICAL GEOMETRY,"Equation of a line: slope-intercept, point-slope, normal form",Deriving line equations in different forms.
Math,HSSC 2,ANALYTICAL GEOMETRY,Mathematics,Circles,data/math/v2-12-maths-book-2025.txt,ANALYTICAL GEOMETRY,"Circle standard equation, center-radius form, chord and tangent properties",Solving problems involving circle equations and tangents.
Math,HSSC 2,ANALYTICAL GEOMETRY,Mathematics,Conics: parabola,data/math/v2-12-maths-book-2025.txt,ANALYTICAL GEOMETRY,"Parabola: standard form, focus-directrix, focal parameter",Analyzing parabolas using focus-directrix definition.
Math,HSSC 2,ANALYTICAL GEOMETRY,Mathematics,Conics: ellipse,data/math/v2-12-maths-book-2025.txt,ANALYTICAL GEOMETRY,"Ellipse: standard form, major/minor axes, eccentricity","Studying ellipses, axes, and eccentricity."
Math,HSSC 2,ANALYTICAL GEOMETRY,Mathematics,Conics: hyperbola,data/math/v2-12-maths-book-2025.txt,ANALYTICAL GEOMETRY,"Hyperbola: standard form, asymptotes and eccentricity",Properties and equations of hyperbolas and asymptotes.
Math,HSSC 2,CONIC SECTION,Mathematics,Conic general properties,data/math/v2-12-maths-book-2025.txt,CONIC SECTION,General conic classification via discriminant and rotation,Classifying conics using discriminant and coordinate rotation.
Math,HSSC 2,CONIC SECTION,Mathematics,Parabola applications,data/math/v2-12-maths-book-2025.txt,CONIC SECTION,Parabolic reflector properties and engineering examples,Applications of parabolas in engineering and optics.
Math,HSSC 2,INVERSE TRIGONOMETRIC FUNCTIONS AND THEIR GRAPHS,Mathematics,Inverse trig principal values,data/math/v2-12-maths-book-2025.txt,INVERSE TRIGONOMETRIC FUNCTIONS AND THEIR GRAPHS,"Principal value ranges for arcsin, arccos, arctan, arcsec, arccsc, arccot",Understanding principal value ranges for inverse trig functions
Math,HSSC 2,INVERSE TRIGONOMETRIC FUNCTIONS AND THEIR GRAPHS,Mathematics,Graphs of inverse trig,data/math/v2-12-maths-book-2025.txt,INVERSE TRIGONOMETRIC FUNCTIONS AND THEIR GRAPHS,Sketching graphs of inverse trig functions and symmetry properties,"Graphing arcsin, arccos, arctan, arcsec, arccsc, arccot"
Math,HSSC 2,INVERSE TRIGONOMETRIC FUNCTIONS AND THEIR GRAPHS,Mathematics,Identities for inverse trig,data/math/v2-12-maths-book-2025.txt,INVERSE TRIGONOMETRIC FUNCTIONS AND THEIR GRAPHS,Addition/subtraction formulas for inverse trig (selected identities),Using key identities for solving inverse trig problems
Math,HSSC 2,SOLUTION OF TRIGONOMETRIC EQUATIONS,Mathematics,Basic trig equation solving,data/math/v2-12-maths-book-2025.txt,SOLUTION OF TRIGONOMETRIC EQUATIONS,"Solving sin x = a, cos x = b, tan x = c: principal and general solutions",Solving simple trig equations and expressing general solutions
Math,HSSC 2,SOLUTION OF TRIGONOMETRIC EQUATIONS,Mathematics,Use of identities to solve,data/math/v2-12-maths-book-2025.txt,SOLUTION OF TRIGONOMETRIC EQUATIONS,Using sum/difference and double-angle identities to solve equations,Applying trig identities for equation solving
